Rows,"Insert time, ms","Select time, ms","Index size, MiB"
200k,284,4,4
400k,247,2,9
600k,226,2,13
800k,217,2,17
1000k,220,2,21
1200k,222,2,26
1400k,238,2,30
1600k,237,2,34
1800k,257,2,39
2000k,325,2,43
2200k,356,2,47
2400k,373,2,51
2600k,381,2,56
2800k,309,2,60
3000k,264,2,64
3200k,258,2,69
3400k,252,2,73
3600k,259,2,77
3800k,217,2,81
4000k,227,2,86
4200k,229,2,90
4400k,230,2,94
4600k,234,2,99
4800k,218,2,103
5000k,271,2,107
5200k,236,3,111
5400k,264,2,116
5600k,237,2,120
5800k,250,2,124
6000k,234,2,129
6200k,250,2,133
6400k,247,2,137
6600k,253,2,141
6800k,238,4,146
7000k,237,2,150
7200k,217,2,154
7400k,228,2,159
7600k,216,2,163
7800k,313,2,167
8000k,223,2,171
8200k,239,2,176
8400k,234,2,180
8600k,222,2,184
8800k,223,2,189
9000k,217,2,193
9200k,214,2,197
9400k,231,2,201
9600k,233,2,206
9800k,241,2,210
10000k,245,2,214
10200k,236,2,219
10400k,247,2,223
10600k,217,2,227
10800k,229,2,231
11000k,229,2,236
11200k,247,2,240
11400k,259,2,244
11600k,231,2,248
11800k,305,2,253
12000k,254,2,257
12200k,221,2,261
12400k,223,2,266
12600k,217,2,270
12800k,218,2,274
13000k,213,2,278
13200k,220,2,283
13400k,223,2,287
13600k,217,2,291
13800k,221,2,296
14000k,220,2,300
14200k,220,2,304
14400k,236,2,308
14600k,219,2,313
14800k,222,2,317
15000k,219,2,321
15200k,247,2,326
15400k,218,2,330
15600k,215,2,334
15800k,254,2,338
16000k,249,2,343
16200k,236,2,347
16400k,226,2,351
16600k,242,2,356
16800k,226,2,360
17000k,224,2,364
17200k,227,2,368
17400k,213,2,373
17600k,213,2,377
17800k,212,2,381
18000k,225,2,386
18200k,224,2,390
18400k,278,3,394
18600k,273,2,398
18800k,227,2,403
19000k,219,2,407
19200k,234,2,411
19400k,219,2,416
19600k,229,2,420
19800k,237,2,424
20000k,238,2,428
