Rows,"auto_inc mysql, MiB","auto_inc postgres, MiB","uuidv1 mysql, MiB","uuidv1 postgres, MiB","uuidv7 mysql, MiB","uuidv7 postgres, MiB","varbinary mysql, MiB","varbinary postgres, MiB","varchar mysql, MiB","varchar postgres, MiB"
200k,6,4,8,6,8,6,12,9,12,8
400k,10,9,15,12,15,12,23,16,23,16
600k,15,13,22,18,22,18,34,23,34,23
800k,19,17,29,24,29,24,44,31,45,30
1000k,24,21,36,30,36,30,55,38,55,38
1200k,29,26,44,36,44,36,66,45,67,45
1400k,33,30,51,42,51,42,77,53,78,52
1600k,38,34,58,48,58,48,88,61,88,59
1800k,43,39,65,54,65,54,99,68,99,66
2000k,47,43,72,60,72,60,111,76,110,73
2200k,52,47,79,66,79,66,121,82,122,80
2400k,56,51,86,72,86,72,132,90,133,87
2600k,61,56,93,78,93,78,143,96,144,94
2800k,66,60,100,84,100,84,154,103,155,101
3000k,70,64,107,90,107,90,165,110,165,108
3200k,75,69,114,96,114,96,176,117,176,115
3400k,80,73,121,102,121,102,186,124,187,124
3600k,84,77,129,108,129,108,199,130,198,132
3800k,89,81,136,114,136,114,211,138,211,140
4000k,93,86,143,120,143,120,221,145,221,148
4200k,98,90,150,126,150,126,233,152,232,156
4400k,103,94,157,132,157,132,243,159,243,165
4600k,107,99,164,138,164,138,254,167,255,173
4800k,112,103,171,144,171,144,265,174,266,182
5000k,117,107,178,150,178,150,275,182,278,190
5200k,121,111,185,156,185,156,286,189,289,197
5400k,126,116,192,162,192,162,298,197,301,206
5600k,130,120,199,168,199,168,309,206,312,213
5800k,135,124,207,174,207,174,320,214,323,220
6000k,140,129,214,181,214,181,330,221,334,229
6200k,144,133,221,187,221,187,341,229,345,237
6400k,149,137,228,193,228,193,352,238,355,246
6600k,154,141,235,199,235,199,363,246,366,253
6800k,158,146,242,205,242,205,374,253,377,261
7000k,163,150,249,211,249,211,384,260,388,269
7200k,167,154,256,217,256,217,395,267,399,277
7400k,172,159,263,223,263,223,406,274,410,286
7600k,177,163,270,229,270,229,417,281,421,293
7800k,181,167,277,235,277,235,428,288,432,301
8000k,186,171,284,241,284,241,440,296,444,309
8200k,191,176,292,247,292,247,450,304,455,317
8400k,195,180,299,253,299,253,461,313,465,325
8600k,200,184,307,259,307,259,472,322,476,333
8800k,204,189,314,265,314,265,484,329,487,340
9000k,209,193,321,271,321,271,494,337,499,349
9200k,214,197,328,277,328,277,504,345,510,357
9400k,218,201,335,283,335,283,517,352,521,364
9600k,223,206,342,289,342,289,527,361,532,372
9800k,228,210,349,295,349,295,538,369,543,380
10000k,232,214,356,301,356,301,548,377,555,389
10200k,237,219,363,307,363,307,559,384,566,396
10400k,241,223,371,313,371,313,571,391,577,405
10600k,246,227,378,319,378,319,582,399,588,413
10800k,251,231,385,325,385,325,594,405,601,422
11000k,255,236,392,331,392,331,605,413,612,430
11200k,260,240,399,337,399,337,616,420,623,439
11400k,265,244,406,343,406,343,627,429,634,446
11600k,269,248,413,349,413,349,639,436,645,454
11800k,274,253,420,355,420,355,649,443,655,461
12000k,278,257,427,361,427,361,660,450,667,468
12200k,283,261,434,367,434,367,671,458,679,476
12400k,288,266,441,373,441,373,681,465,690,485
12600k,292,270,448,379,448,379,691,472,700,493
12800k,297,274,456,385,456,385,702,480,712,500
13000k,302,278,463,391,463,391,713,488,723,509
13200k,306,283,470,397,470,397,725,495,734,517
13400k,311,287,477,403,477,403,736,502,745,526
13600k,315,291,484,409,484,409,747,509,755,534
13800k,320,296,491,415,491,415,758,517,766,543
14000k,325,300,498,421,498,421,770,524,778,552
14200k,329,304,505,427,505,427,780,532,789,559
14400k,334,308,512,436,512,433,792,538,799,566
14600k,339,313,519,447,519,439,802,545,810,574
14800k,343,317,526,458,526,445,813,552,822,583
15000k,348,321,534,469,534,451,824,559,833,591
15200k,352,326,541,480,541,457,836,566,843,598
15400k,357,330,548,491,548,463,847,574,853,606
15600k,362,334,555,502,555,469,858,580,864,613
15800k,366,338,562,512,562,475,870,588,875,621
16000k,371,343,569,523,569,481,881,595,886,630
16200k,375,347,576,534,576,487,891,602,896,637
16400k,380,351,583,545,583,493,902,610,906,644
16600k,385,356,590,556,590,499,913,617,918,651
16800k,389,360,597,567,597,505,924,624,929,658
17000k,394,364,604,578,604,511,935,631,940,667
17200k,399,368,611,588,611,517,946,638,950,674
17400k,403,373,619,599,619,523,956,645,963,682
17600k,408,377,626,610,626,529,968,655,973,690
17800k,412,381,633,621,633,535,978,663,985,696
18000k,417,386,640,632,640,541,989,671,996,703
18200k,422,390,647,643,647,547,1000,679,1007,710
18400k,426,394,654,653,654,554,1012,686,1017,718
18600k,431,398,661,664,661,560,1023,694,1028,726
18800k,436,403,668,675,668,566,1034,703,1039,733
19000k,440,407,675,686,675,572,1044,711,1051,741
19200k,445,411,682,697,682,578,1055,719,1061,747
19400k,449,416,689,708,689,584,1066,728,1072,754
19600k,454,420,697,719,697,590,1077,736,1083,762
19800k,459,424,704,729,704,596,1088,744,1094,770
20000k,463,428,711,740,711,602,1100,753,1105,777
Rows,"auto_inc mysql, MiB","auto_inc postgres, MiB","uuidv1 mysql, MiB","uuidv1 postgres, MiB","uuidv7 mysql, MiB","uuidv7 postgres, MiB","varbinary mysql, MiB","varbinary postgres, MiB",,
